id,trigger,conditions,script,text,options,notes,
vulp_badEnding2_horrible,DialogOptionSelected,$option == vulp_badEnding2_horrible,PlaySound storyevent_diktat_execution,,vulp_badEnding2_person:...,,
vulp_badEnding2_person,DialogOptionSelected,$option == vulp_badEnding2_person,PlaySound storyevent_diktat_execution,,vulp_badEnding3:...,,
vulp_badEnding3,DialogOptionSelected,$option == vulp_badEnding3,,"It's done. Your teams move forward without resistance or interference, blood-soaked boots trailing footsteps down the corridors towards the vessel's CIC.

The bulkhead door is sealed tight. With nobody to open it, your salvors begin the slow job of cutting through.",vulp_badEnding4:Wait,,
vulp_badEnding4,DialogOptionSelected,$option == vulp_badEnding4,ShowImageVisual laisa_death,"The wait is agonizing, but your teams finally breach the CIC. Inside, a single creature.

It's already dead.

Medics step up to bag and tag, while salvors prepare to seize control over the vessel.",vulp_badEnding5:Continue,,
vulp_badEnding5,DialogOptionSelected,$option == vulp_badEnding5,HideVisual,"Suddenly, a shout: ""Pull the $shipOrFleet back!""",vulp_badEnding6:Continue,,
vulp_badEnding6,DialogOptionSelected,$option == vulp_badEnding6,,"Ops takes a single look at the helmet camera and confirms the order. Combat agrav is activated, and drives burn hard to gain distance from the wreck.

The former captain's final act was to initiate a reactor core delamination. Every gram of antimatter in the ship is about to go up in one final explosion.

There is no time to recall the shuttles.",vulp_badEnding7:Brace for impact,,
vulp_badEnding7,DialogOptionSelected,$option == vulp_badEnding7,Call $global.vulpFactory_ref applyPunishment,,vulp_badEnding8:Continue,,
vulp_badEnding8,DialogOptionSelected,$option == vulp_badEnding8,"$global.vulp_didBadEnding = true
ShowImageVisual space_wreckage","Even at distance the explosion is incredibly fierce, scorching your $shipOrFleet with the fury of an ancient giant.

Whatever Domain technology was on that ship has been utterly destroyed, along with all personnel aboard.",defaultLeave:There is nothing we can do.,,
,,,,,,,
# Biodome Exploration,,,,,,,
,,,,,,,
vulp_exploreBiodomeHub,DialogOptionSelected,$option == vulp_exploreBiodomeHub,"FireAll VulpBiodomeOptions
ShowImageVisual citadel_biodome",,,,
vulp_exploreBiodomeHubReturn,DialogOptionSelected,$option == vulp_exploreBiodomeHubReturn,"FireAll VulpBiodomeOptions
ShowImageVisual citadel_biodome",,,,
vulp_exploreBiodomeExodyneOption,VulpBiodomeOptions,!$didBiodomeExodyne,,The imitation skyline is dominated by a massive tower bearing the Exodyne logo.,vulp_exploreBiodomeExodyne:Check the Exodyne tower,,
vulp_exploreBiodomeExodyneAlreadyDone,VulpBiodomeOptions,$didBiodomeExodyne,,The Exodyne facilities are locked down until you reach the bridge.,,,
vulp_exploreBiodomeDomainOption,VulpBiodomeOptions,!$didBiodomeDomain,,A Colonial Security Force office proudly flies the flag of the Domain.,vulp_exploreBiodomeDomain:Check the Domain CSF office,,
vulp_exploreBiodomeDomainAlreadyDone,VulpBiodomeOptions,$didBiodomeDomain,,The Domain CSF office is as now as empty as the Gates.,,,
vulp_exploreBiodomeTTOption,VulpBiodomeOptions,!$didBiodomeTT,,Stark white panels and sleek diamond-matrix windows denote a Tri-Tachyon branch office.,vulp_exploreBiodomeTT:Check the Tri-Tachyon branch office,,
vulp_exploreBiodomeTTAlreadyDone,VulpBiodomeOptions,$didBiodomeTT,,The Tri-Tachyon building was cleared out long ago.,,,
vulp_exploreBiodomeUtopiaOption,VulpBiodomeOptions,!$didBiodomeUtopia,,A small complex of industrial buildings bear the Eridani-Utopia logo.,vulp_exploreBiodomeUtopia:Check the Eridani-Utopia branch office,,
vulp_exploreBiodomeUtopiaAlreadyDone,VulpBiodomeOptions,$didBiodomeUtopia,,The Eridani-Utopia control systems are locked down until you reach the bridge.,,,
vulp_exploreBiodomeSuburbOption,VulpBiodomeOptions,!$didBiodomeSuburb,,Long rows of suburban habitation districts arc outwards in geometric patterns.,vulp_exploreBiodomeSuburb:Check the suburban areas,,
vulp_exploreBiodomeSuburbAlreadyDone,VulpBiodomeOptions,$didBiodomeSuburb,,The suburban areas have been thoroughly scoured.,,,
vulp_exploreBiodomeLeaveOption,VulpBiodomeOptions,,,,vulp_exploreBiodomeEnding:Wrap up the exploration,,
,,,,,,,
vulp_exploreBiodomeEnding,DialogOptionSelected,$option == vulp_exploreBiodomeEnding,"HideVisual
SetOptionColor vulp_badEndingHubAfterExplore bad",Exploration of the biodome has been carried out to your satisfaction. All that remains is waiting for a team to reach the vessel's CIC.,"vulp_exploreCIC:Continue
vulp_badEndingHubAfterExplore:Consider doing something about the crew",,
,,,,,,,
# Exodyne Tower,,,,,,,
vulp_exploreBiodomeExodyne,DialogOptionSelected,$option == vulp_exploreBiodomeExodyne,"HideVisual
$didBiodomeExodyne = true","The massive tower is filled with administrative complexes, clearly having once hosted an entire sub-division of the Exodyne Biotech company.

Most of the datacores have been wiped or removed, but some marketing material has been recovered.",vulp_exploreBiodomeExodyne1:Continue,,
vulp_exploreBiodomeExodyne1,DialogOptionSelected,$option == vulp_exploreBiodomeExodyne1,"ShowImageVisual vulpoid_advertisement
$player.sawVulpoidAdvertisement = true","Holos of the non-human crew feature under the name 'Vulpoids'. They appear to be a pre-release version, with their public reveal being scheduled a cycle after the Collapse.

Mention of them being licensed as delta-level AI suggests they were designed for civilian use, though they must have been quite expensive.",vulp_exploreBiodomeExodyne2:Continue,,
vulp_exploreBiodomeExodyne2,DialogOptionSelected,$option == vulp_exploreBiodomeExodyne2,HideVisual,"The teams in the outlying complex, on the other hand, have been stymied. The facilities are locked down, and your chief engineer believes that they're equipped with a self-destruct to prevent corporate espionage.

Mechanisms like these are rare but not unheard of, especially when it comes to cutting-edge research. It's almost certainly possible to disable it from the bridge.",vulp_exploreBiodomeHubReturn:Conclude the search,,
,,,,,,,
# Domain CSF,,,,,,,
vulp_exploreBiodomeDomain,DialogOptionSelected,$option == vulp_exploreBiodomeDomain,"HideVisual
$didBiodomeDomain = true","Buildings like this one are found in practically every set of ruins in the Sector, and are usually part of a salvor's standard training.

The entry makes for a comfortable return to routine.",vulp_exploreBiodomeDomain1:Continue,,
vulp_exploreBiodomeDomain1,DialogOptionSelected,$option == vulp_exploreBiodomeDomain1,,"The building's design resembles a mix of standard planetary and orbital designs, reflective of the interesting environment it's been constructed in.

None of the deviations impair your crew's ability to swiftly locate the main computer cores, and unlock them with access codes that were cracked over a century ago.",vulp_exploreBiodomeDomain2:Continue,,
vulp_exploreBiodomeDomain2,DialogOptionSelected,$option == vulp_exploreBiodomeDomain2,,"As is typical, most of the data is corrupt. The panoptic security system was made with decades of storage, but it's been centuries and the footage has overwrote itself several times over.

All the same, the databanks are dumped and transmitted to your analysis teams in the hopes of being able to extract something useful.

What few sections are relatively untouched by corruption are immediately identified, reviewed, and promptly sent to your datapad.",vulp_exploreBiodomeDomain3:Continue,,
vulp_exploreBiodomeDomain3,DialogOptionSelected,$option == vulp_exploreBiodomeDomain3,,"It's mostly footage from the early days, pre-Collapse. Through the haze of minor corruption artifacts you can see Exodyne researchers walking down streets, often with members of the non-human crew following close behind.

The footage jumps ahead, and the streets are filled with cargo drones transporting personal effects. You can see a small group of scientists - including the one who sent you here - having a heated debate with some of the Domain CSF officers. The audio channel is all but unintelligible, but a sub-AI analysis system suggests that the argument is regarding whether the vessel can be placed under 'her' command.

Unfortunately neither party cares to exposit about who 'she' is, only that the CSF is concerned about safety, while the researchers believe there's no better alternative. Eventually the CSF officers relent, after being convinced that the Domain Armada will be able to handle anything that could happen in the short time until the Gates are restored.",vulp_exploreBiodomeDomain4:Continue,,
vulp_exploreBiodomeDomain4,DialogOptionSelected,$option == vulp_exploreBiodomeDomain4,,"What little uncorrupted post-evacuation footage is all but indistinguishable from the scene your team arrived to. The non-human crew scurries through the empty town, occasionally performing maintenance duties.

A few conversations between them are recorded, but are positively banal. They talk about the now-absent humans in much the same way that youths discuss their favorite Fikenhild holo-celebrities, and wonder aloud when they'll return. The timestamp on the most recent clip states that it's 4 years post-Collapse - everything after that has yet to be recovered.

There's little else to be found inside the CSF building. At the very least, this would seem to indicate that the crew's behavior is either not an elaborate ruse, or is an *extremely* elaborate ruse.",vulp_exploreBiodomeHubReturn:Conclude the search,,
,,,,,,,
# TT Branch Office,,,,,,,
vulp_exploreBiodomeTT,DialogOptionSelected,$option == vulp_exploreBiodomeTT,"HideVisual
$didBiodomeTT = true","Your forces carefully make their entry into the Tri-Tachyon building. The fear of ancient AI remnants runs deep when this far out from the Core.

The rooms are dark, devoid of any activity. Desks are cleared out, and computers have been thoroughly wiped. Typical for Tri-Tachyon, they've spared no expense in ensuring there's nothing for an enterprising salvor to find here.",vulp_exploreBiodomeTT1:Continue,,
vulp_exploreBiodomeTT1,DialogOptionSelected,$option == vulp_exploreBiodomeTT1,,"This is one case where the Collapse actually works in your favor. Things that would be grounds for an immediate Hegemony inspection were commonplace under the Domain, and the Tri-Tachyon personnel of the day had no reason to destroy evidence of then-legal activities.

The office spaces have given way to racks of coolant cradles and spools of high-capacity data lines. The pipes are drained and the data lines cleanly coiled, but the purpose is clear: these were AI core interfaces.",vulp_exploreBiodomeTT2:Continue,,
vulp_exploreBiodomeTT2,DialogOptionSelected,$option == vulp_exploreBiodomeTT2,,"Studying the labels of the cradles and connections indicates that this space served as a 'switchboard' for a wide assortment of AI cores to communicate with various facilities throughout the biodome.

A majority of the cables are indicated to connect to laboratories or other research facilities, suggesting that the cores were being used to assist the human scientists in their research.",vulp_exploreBiodomeTT3:Continue,,
vulp_exploreBiodomeTT3,DialogOptionSelected,$option == vulp_exploreBiodomeTT3,"SetStoryOption vulp_exploreBiodomeTTStory general ""Performed a thorough search for an ancient beta core""",Further sweeps through the building reveal little else. Any valuable technology or information has been gone for as long as the staff has.,"vulp_exploreBiodomeHubReturn:Conclude the search
vulp_exploreBiodomeTTStory:Make one more sweep",,
